item_id,category,subcategory,item_name,description,unit,unit_price,minimum_quantity,typical_quantity,maximum_quantity,synonyms,requires_dimensions,requires_material_selection,requires_site_verification,clarification_question,confidence_notes,active
GP-080,Fire Features,Fire Bowl,Fire Bowl,Installation of a freestanding decorative gas fire bowl.,each,1875.0,1,1,3,fire bowl;fire pot;decorative fire bowl,FALSE,TRUE,TRUE,Is a gas line available near the desired fire bowl location?,High confidence when notes specifically mention a fire bowl rather than a full fire pit.,TRUE
GP-081,Fire Features,Linear Fire,Linear Fire Feature,"Installation of a linear gas fire trough or feature, often integrated into a wall or water feature.",linear_ft,425.0,4,8,20,linear fire feature;fire trough;modern fire line;linear fire pit,TRUE,TRUE,TRUE,"How many linear feet of fire feature are needed, and will it be freestanding or built into a wall?",High confidence when notes mention a linear or modern fire feature.,TRUE
GP-082,Fire Features,Upgrade,Fire Pit Burner Upgrade,Upgrade of a fire pit burner to a larger BTU output or electronic ignition system.,each,685.0,1,1,1,burner upgrade;bigger flame;electronic ignition,FALSE,FALSE,FALSE,,Low confidence as a standalone request; typically bundled with a new fire pit order.,TRUE
GP-083,Fire Features,Upgrade,Fire Glass Upgrade,Upgrade from standard lava rock to reflective fire glass media in a gas fire feature.,each,175.0,1,1,3,fire glass;glass rocks;fire pit glass upgrade,FALSE,TRUE,FALSE,Which fire glass color is preferred?,High confidence when notes specifically mention fire glass.,TRUE
GP-084,Fire Features,Seating,Fire Pit Seating Surround,Construction of a low masonry seating surround built around a fire pit.,linear_ft,145.0,10,20,40,fire pit seating;seating around the fire pit;fire pit surround,TRUE,TRUE,FALSE,How many linear feet of seating surround are needed around the fire pit?,Medium confidence; select when notes mention seating built directly around a fire feature.,TRUE
GP-085,Fire Features,Gas Line,Gas Line Run (Fire Feature),Extension of a gas line from the existing meter or stub-out to a new fire feature location.,linear_ft,32.0,10,30,100,gas line;run gas to the fire pit;gas line extension,TRUE,FALSE,TRUE,How far is the fire feature from the existing gas meter or stub-out?,High confidence when notes mention needing gas run to a new fire feature location.,TRUE
GP-086,Fire Features,Controls,Fire Feature Ignition/Control System,Installation of an electronic ignition and remote or app-based control system for a gas fire feature.,each,825.0,1,1,1,remote ignition;fire pit remote;app-controlled fire pit;electronic ignition system,FALSE,FALSE,TRUE,,Medium confidence; select when notes mention remote or app control for a fire feature.,TRUE
GP-087,Water Features,Pondless,Pondless Water Feature - Small,"Construction of a small pondless recirculating water feature with basin, pump, and rock work.",each,6500.0,1,1,1,small water feature;pondless waterfall;recirculating fountain;backyard waterfall,TRUE,TRUE,TRUE,"What is the desired size/footprint of the water feature, and where is the nearest power source?",Medium confidence; select for a smaller-scale water feature request without pool integration.,TRUE
GP-088,Water Features,Pondless,Pondless Water Feature - Large,"Construction of a large pondless recirculating water feature with expanded basin, multiple pumps, and rock work.",each,12800.0,1,1,1,large water feature;big waterfall;backyard waterfall feature,TRUE,TRUE,TRUE,"What is the desired size/footprint of the water feature, and where is the nearest power source?",Medium confidence; select when notes describe a larger or more elaborate waterfall feature.,TRUE
GP-089,Water Features,Pool,Custom Pool-Adjacent Water Feature,"Construction of a custom water feature integrated with an existing pool, such as a raised spa spillway or rock waterfall.",each,18500.0,1,1,1,pool water feature;pool waterfall;spa spillway;pool rock feature,TRUE,TRUE,TRUE,"What type of pool-integrated feature is desired, and can you share the pool's existing equipment setup?",High confidence when notes mention a water feature connected to or integrated with an existing pool.,TRUE
GP-090,Water Features,Fountain,Fountain - Freestanding,Supply and installation of a freestanding decorative fountain with recirculating pump.,each,2950.0,1,1,2,fountain;freestanding fountain;decorative fountain;yard fountain,FALSE,TRUE,TRUE,"Which fountain style is preferred, and where should it be placed?",High confidence when notes mention a fountain as a standalone feature.,TRUE
GP-091,Water Features,Fountain,Wall-Mounted Water Feature,Installation of a wall-mounted water feature with integrated spillway and recirculating pump.,each,3750.0,1,1,2,wall fountain;wall water feature;spillway wall,FALSE,TRUE,TRUE,"Which wall is the feature being mounted to, and is it a new or existing wall?",High confidence when notes mention a wall-mounted fountain or spillway.,TRUE
GP-092,Water Features,Lighting,Water Feature Lighting,Installation of submersible or accent lighting to illuminate an existing or new water feature.,each,425.0,1,2,6,water feature lighting;waterfall lights;underwater lighting,FALSE,FALSE,TRUE,How many lights are needed for the water feature?,Medium confidence; select when notes mention lighting the water feature specifically.,TRUE
GP-093,Water Features,Equipment,Water Feature Pump Upgrade,Upgrade of an existing water feature's pump to increase flow rate or improve energy efficiency.,each,650.0,1,1,1,pump upgrade;bigger pump;water feature pump,FALSE,FALSE,TRUE,,Medium confidence; select when notes mention improving flow or replacing an existing pump.,TRUE
GP-094,Water Features,Structure,Spillway/Scupper Installation,"Installation of a spillway or scupper element feeding a pool, spa, or water feature basin.",each,875.0,1,2,4,spillway;scupper;water spout feature,FALSE,TRUE,TRUE,"How many spillways/scuppers are needed, and where do they feed into?",Medium confidence; select when notes mention a spillway or scupper specifically.,TRUE
GP-095,Water Features,Service,Water Feature Repair/Service,"Diagnostic and repair service call for an existing water feature (pump, leak, or plumbing issue).",project,450.0,1,1,1,fix the water feature;water feature repair;waterfall not working;fountain service,FALSE,FALSE,TRUE,"What symptom is the water feature showing (not running, leaking, low flow)?",High confidence when notes describe an existing water feature that is malfunctioning.,TRUE
GP-096,Water Features,Accent,Bubbler Rock Feature,"Installation of a small bubbling rock water feature, often used near entries or planting beds.",each,1150.0,1,2,4,bubbler rock;bubbling rock;small water feature rock,FALSE,TRUE,TRUE,"How many bubbler rocks are needed, and where should they be placed?",High confidence when notes specifically mention a bubbler or bubbling rock feature.,TRUE
GP-097,Artificial Turf,Turf,Artificial Turf - Standard,"Installation of standard-pile artificial turf over a compacted and leveled base, including infill.",sqft,9.5,300,800,2500,fake grass;synthetic grass;artificial grass;turf;fake lawn;synthetic turf,TRUE,TRUE,TRUE,How many square feet of turf should be installed?,"High confidence when notes mention fake grass, synthetic grass, or turf without a premium/pet/putting qualifier.",TRUE
GP-098,Artificial Turf,Turf,Artificial Turf - Premium,"Installation of premium multi-tone, longer-pile artificial turf for a more natural appearance.",sqft,12.75,300,800,2500,premium turf;high-end fake grass;natural-look turf;putting-style turf,TRUE,TRUE,TRUE,How many square feet of premium turf should be installed?,Medium confidence; select when notes emphasize a natural or high-end turf look.,TRUE
GP-099,Artificial Turf,Turf,Artificial Turf - Pet-Friendly,Installation of pet-friendly artificial turf with an antimicrobial backing and enhanced drainage.,sqft,11.25,300,800,2500,pet turf;dog turf;pet-friendly grass;dog run turf,TRUE,TRUE,TRUE,"How many square feet of pet-friendly turf are needed, and is this for a dedicated dog run?","High confidence when notes mention pets, dogs, or a dog run alongside turf.",TRUE
GP-100,Artificial Turf,Turf,Artificial Turf - Putting Green,Installation of specialty putting-green turf with cup and contour options for a backyard golf green.,sqft,17.5,150,400,1200,putting green;golf green;backyard putting green,TRUE,TRUE,TRUE,"How many square feet, and how many cups/holes are desired for the putting green?",High confidence when notes specifically mention a putting green or backyard golf feature.,TRUE
GP-101,Artificial Turf,Prep,Turf Base Prep & Compaction,Excavation and compaction of a proper aggregate base beneath a turf installation.,sqft,2.1,300,800,2500,turf base;base prep for turf;compact the base,TRUE,FALSE,TRUE,,Medium confidence; typically bundled automatically with any turf installation item.,TRUE
GP-102,Artificial Turf,Demolition,Turf Removal (Existing Synthetic),Removal and haul-off of existing worn or damaged artificial turf.,sqft,2.75,300,800,2500,remove old turf;turf removal;replace the fake grass;tear out turf,TRUE,FALSE,TRUE,How many square feet of existing turf need to be removed?,High confidence when notes mention replacing or removing existing artificial turf.,TRUE
GP-103,Artificial Turf,Accent,Turf Border/Edging,Installation of a defined border or edge restraint around a turf area.,linear_ft,8.5,30,100,400,turf edging;turf border;lawn edge,FALSE,FALSE,FALSE,,Low confidence as a standalone request; typically bundled with a turf installation.,TRUE
GP-104,Artificial Turf,Upgrade,Turf Infill Upgrade (Antimicrobial/Cooling),Upgrade of standard silica infill to an antimicrobial or heat-reducing cooling infill product.,sqft,1.65,300,800,2500,cooling infill;antimicrobial infill;cool turf upgrade,FALSE,TRUE,FALSE,"Which infill upgrade is preferred — cooling, antimicrobial, or both?",Medium confidence; select when notes mention turf getting too hot or pet odor concerns.,TRUE
GP-105,Natural Landscaping,Rock,Decorative Rock Installation - Standard,"Installation of standard decorative rock groundcover (e.g., granite chip) over landscape fabric.",sqft,3.25,200,1000,5000,decorative rock;landscape rock;rock groundcover;granite rock,TRUE,TRUE,FALSE,"How many square feet of decorative rock are needed, and which color/size is preferred?","High confidence when notes mention rock, gravel groundcover, or a low-water yard finish.",TRUE
GP-106,Natural Landscaping,Rock,Decorative Rock Installation - Premium (Larger/Specialty),"Installation of premium or larger-format decorative rock, such as river rock or specialty aggregate.",sqft,5.75,200,1000,5000,river rock;premium rock;specialty rock;large decorative rock,TRUE,TRUE,FALSE,"How many square feet, and which specialty rock product is preferred?",Medium confidence; select when notes emphasize a premium or river-rock look.,TRUE
GP-107,Natural Landscaping,Rock,Gravel Installation - Base/Path,"Installation of compacted gravel for a path, base layer, or utility area.",sqft,2.4,100,500,2000,gravel;gravel path;gravel base;crushed rock,TRUE,FALSE,FALSE,How many square feet of gravel are needed?,Medium confidence; select when notes mention gravel without a decorative rock qualifier.,TRUE
GP-108,Natural Landscaping,Boulders,Boulder Placement - Accent,Placement of a single accent boulder (under 500 lbs) within a planting bed or yard.,each,285.0,1,4,15,accent boulder;small boulder;landscape boulder,FALSE,FALSE,TRUE,How many accent boulders are needed?,Medium confidence; select when notes mention boulders as a landscape accent rather than a wall.,TRUE
GP-109,Natural Landscaping,Boulders,Boulder Placement - Large Feature,Placement of a large feature boulder (500+ lbs) requiring machine placement.,each,950.0,1,2,6,large boulder;feature rock;big boulder placement,FALSE,FALSE,TRUE,"How many large feature boulders are needed, and is machine access available?",Medium confidence; select when notes mention a large or statement boulder feature.,TRUE
GP-110,Natural Landscaping,Edging,Landscape Edging - Steel,"Installation of steel landscape edging to separate turf, rock, and planting bed areas.",linear_ft,9.5,30,120,500,steel edging;metal landscape edging;bed edging,TRUE,FALSE,FALSE,How many linear feet of steel edging are needed?,"Medium confidence; select when notes mention a clean edge between rock, turf, and planting areas.",TRUE
GP-111,Natural Landscaping,Edging,Landscape Edging - Stone/Paver,"Installation of a stone or paver edge band separating turf, rock, and planting bed areas.",linear_ft,14.0,30,120,500,stone edging;paver edging strip;decorative bed edge,TRUE,TRUE,FALSE,How many linear feet of stone/paver edging are needed?,Medium confidence; select when notes mention a decorative rather than steel edge.,TRUE
GP-112,Natural Landscaping,Groundcover,Weed Barrier Fabric Installation,Installation of woven landscape fabric beneath rock or mulch groundcover to suppress weeds.,sqft,0.85,200,1000,5000,weed barrier;landscape fabric;weed fabric,FALSE,FALSE,FALSE,,Low confidence as a standalone request; typically bundled with rock or mulch installation.,TRUE
GP-113,Natural Landscaping,Mulch,Mulch Installation,Delivery and spreading of decorative bark or wood mulch in planting beds.,cubic_yard,95.0,3,10,40,mulch;bark mulch;wood chips;mulch installation,TRUE,TRUE,FALSE,"How many cubic yards of mulch are needed, and which color/type is preferred?",High confidence when notes mention mulch specifically.,TRUE
GP-114,Natural Landscaping,Feature,Dry Creek Bed Installation,"Construction of a decorative dry creek bed using river rock and boulders, often used for drainage.",linear_ft,48.0,15,40,150,dry creek bed;rock creek bed;decorative drainage channel;dry river bed,TRUE,TRUE,TRUE,"How many linear feet of dry creek bed are needed, and is it also functioning as a drainage path?",High confidence when notes mention a dry creek bed or decorative rock drainage channel.,TRUE
GP-115,Irrigation,Zone,New Irrigation Zone - Drip,"Installation of a new drip irrigation zone including valve, tubing, and emitters for a planting area.",zone,685.0,1,3,10,drip irrigation;drip zone;new irrigation zone;irrigation for plants,TRUE,FALSE,TRUE,"How many new drip zones are needed, and roughly how many plants will each zone cover?",High confidence when notes mention drip irrigation or watering for new planting beds.,TRUE
GP-116,Irrigation,Zone,New Irrigation Zone - Spray/Rotor,"Installation of a new spray or rotor irrigation zone including valve, piping, and heads for turf areas.",zone,825.0,1,2,8,sprinkler zone;spray irrigation;rotor heads;sprinkler system,TRUE,FALSE,TRUE,How many new spray/rotor zones are needed to cover the turf or lawn area?,High confidence when notes mention sprinklers or spray irrigation for real turf areas.,TRUE
GP-117,Irrigation,Drip,Drip Irrigation Line (Per Plant Run),Extension of a drip line run with an emitter to an individual new plant.,each,28.0,5,20,100,drip line to plants;emitter run;individual drip line,FALSE,FALSE,FALSE,,Medium confidence; typically bundled with a planting item rather than requested separately.,TRUE
GP-118,Irrigation,Controller,Irrigation Controller - Standard,Supply and installation of a standard multi-zone irrigation timer/controller.,each,385.0,1,1,1,irrigation timer;sprinkler controller;irrigation clock,FALSE,FALSE,TRUE,How many zones does the controller need to support?,Medium confidence; select when notes mention needing a new timer or controller.,TRUE
GP-119,Irrigation,Controller,Smart Irrigation Controller Upgrade,Upgrade to a Wi-Fi enabled smart irrigation controller with weather-based scheduling.,each,625.0,1,1,1,smart controller;wifi irrigation controller;app-controlled sprinklers,FALSE,FALSE,TRUE,,"High confidence when notes mention a smart, app-based, or Wi-Fi irrigation controller.",TRUE
GP-120,Irrigation,Repair,Irrigation Valve Replacement,Diagnosis and replacement of a failed irrigation valve.,each,195.0,1,1,4,valve replacement;broken valve;irrigation valve repair,FALSE,FALSE,TRUE,"How many valves appear to be failing, and what symptoms are you seeing (zone not turning on/off)?",High confidence when notes describe a specific broken valve or zone malfunction.,TRUE
GP-121,Irrigation,Repair,Irrigation Repair/Diagnostic,Hourly diagnostic and repair service for irrigation system issues not covered by a flat-rate item.,hour,135.0,1,2,6,irrigation repair;sprinkler not working;fix the sprinklers;irrigation troubleshooting,FALSE,FALSE,TRUE,What symptoms is the irrigation system showing?,Medium confidence; used as a catch-all when the specific irrigation issue isn't yet diagnosed.,TRUE
GP-122,Irrigation,Mainline,Irrigation Mainline Extension,Extension of the irrigation mainline to reach a new zone or planting area.,linear_ft,14.0,20,80,300,mainline extension;extend the irrigation line;irrigation pipe run,TRUE,FALSE,TRUE,How far does the mainline need to be extended to reach the new area?,Medium confidence; typically bundled with a new irrigation zone in a distant part of the yard.,TRUE
GP-123,Irrigation,Controller,Rain/Freeze Sensor Installation,Installation of a rain or freeze sensor to automatically suspend irrigation cycles during weather events.,each,165.0,1,1,1,rain sensor;freeze sensor;weather sensor,FALSE,FALSE,FALSE,,Medium confidence; select when notes mention water conservation or weather-based shutoff.,TRUE
GP-124,Irrigation,Backflow,Backflow Preventer Installation,Installation of a code-required backflow prevention device on the irrigation supply line.,each,675.0,1,1,1,backflow preventer;backflow device;anti-siphon valve,FALSE,FALSE,TRUE,,Medium confidence; typically required by code on new irrigation systems tied into the main water line.,TRUE
GP-125,Irrigation,Service,Irrigation System Winterization/Startup,Seasonal service to shut down or start up the irrigation system and check for leaks or damage.,project,225.0,1,1,1,irrigation startup;winterize the sprinklers;seasonal irrigation check,FALSE,FALSE,FALSE,,"High confidence when notes mention seasonal startup, shutdown, or a general system check.",TRUE
GP-126,Drainage,French Drain,French Drain Installation,"Installation of a French drain including trenching, perforated pipe, gravel backfill, and fabric wrap.",linear_ft,32.0,20,80,300,french drain;yard drainage;drain trench;water drainage line,TRUE,FALSE,TRUE,"How many linear feet of French drain are needed, and where does standing water currently collect?",High confidence when notes mention a French drain or a specific standing-water problem area.,TRUE
GP-127,Drainage,Catch Basin,Catch Basin Installation,Installation of a catch basin to collect surface water and route it into the drainage system.,each,475.0,1,2,6,catch basin;drain box;yard drain inlet,FALSE,FALSE,TRUE,"How many catch basins are needed, and where should they be located?",High confidence when notes mention a catch basin or a low point that collects water.,TRUE
GP-128,Drainage,Channel Drain,Channel Drain Installation,"Installation of a linear channel drain, typically at a patio edge or driveway transition, to intercept surface flow.",linear_ft,58.0,6,20,80,channel drain;trench drain;linear drain grate,TRUE,FALSE,TRUE,"How many linear feet of channel drain are needed, and where does water need to be intercepted?",High confidence when notes mention a channel or trench drain at a patio or driveway edge.,TRUE
GP-129,Drainage,Downspout,Downspout Drainage Extension,Underground extension of a roof downspout to route water away from the foundation.,linear_ft,22.0,10,30,100,downspout extension;gutter drainage;route the downspout,TRUE,FALSE,TRUE,"How many downspouts need to be extended, and roughly how far does each need to run?","High confidence when notes mention downspout, gutter, or roof drainage issues.",TRUE
GP-130,Drainage,Drywell,Drywell Installation,Installation of an underground drywell to collect and slowly disperse excess stormwater.,each,2150.0,1,1,3,drywell;dry well;underground water storage,FALSE,FALSE,TRUE,"How many drywells are needed, and what soil conditions are present on-site?",Medium confidence; select for larger drainage systems where surface discharge isn't an option.,TRUE
GP-131,Drainage,Grading,Grading Correction,Regrading of a section of yard to correct negative slope or standing water issues.,sqft,2.75,200,800,3000,fix the grading;regrade the yard;correct the slope;standing water fix,TRUE,FALSE,TRUE,"How many square feet need regrading, and where does water currently pool?",High confidence when notes describe standing water or improper slope in the yard.,TRUE
GP-132,Drainage,Area Drain,Area Drain Installation,"Installation of a point-source area drain within a patio, turf, or planting area.",each,325.0,1,2,6,area drain;point drain;yard drain,FALSE,FALSE,TRUE,"How many area drains are needed, and where should they be located?",Medium confidence; select for isolated low points rather than a full French drain system.,TRUE
GP-133,Drainage,Sump,Sump Pump Installation,Installation of a sump pump system to actively remove water from a low-lying or below-grade area.,each,1450.0,1,1,1,sump pump;water pump system;pump out the water,FALSE,FALSE,TRUE,"Is this for a below-grade area, and is electrical power available nearby?",Medium confidence; select for below-grade drainage where gravity flow isn't possible.,TRUE
GP-134,Drainage,Assessment,Drainage System Inspection & Assessment,On-site assessment of existing drainage issues and recommended solution planning.,project,275.0,1,1,1,drainage assessment;inspect the drainage;figure out the drainage problem;drainage consultation,FALSE,FALSE,TRUE,,High confidence when notes describe an unresolved or unclear drainage problem needing diagnosis.,TRUE
GP-135,Drainage,Pop-Up Emitter,Pop-Up Emitter Installation,Installation of a pop-up drainage emitter at the discharge end of a French drain or downspout line.,each,135.0,1,2,6,pop-up emitter;drain outlet;discharge point,FALSE,FALSE,FALSE,,Low confidence as a standalone request; typically bundled with a French drain or downspout item.,TRUE
GP-136,Landscape Lighting,Fixture,LED Path Light,"Supply and installation of a low-voltage LED path light fixture, including wiring to the transformer.",fixture,185.0,4,10,30,path light;path lighting;walkway light,FALSE,TRUE,FALSE,"How many path lights are needed, and which fixture finish is preferred?",High confidence when notes mention path or walkway lighting.,TRUE
GP-137,Landscape Lighting,Fixture,LED Uplight,"Supply and installation of a low-voltage LED uplight fixture for accenting trees, walls, or architecture.",fixture,165.0,4,8,25,uplight;accent light;wall wash light;tree uplight,FALSE,TRUE,FALSE,"How many uplights are needed, and what will they be highlighting (trees, walls, architecture)?",High confidence when notes mention accenting or uplighting a feature.,TRUE
GP-138,Landscape Lighting,Fixture,Tree Lighting (Per Fixture),Supply and installation of an uplight fixture mounted to illuminate a specific tree.,fixture,210.0,2,4,12,tree lighting;tree uplight;light the palm trees,FALSE,FALSE,FALSE,How many trees need lighting fixtures?,High confidence when notes mention lighting specific trees or palms.,TRUE
GP-139,Landscape Lighting,Fixture,Wall Lighting Fixture,Supply and installation of a surface-mounted or recessed wall lighting fixture.,fixture,195.0,2,6,20,wall light;wall sconce;wall-mounted fixture,FALSE,TRUE,FALSE,"How many wall fixtures are needed, and which finish is preferred?",Medium confidence; select when notes mention lighting mounted directly to a wall surface.,TRUE
GP-140,Landscape Lighting,Fixture,Step Lighting Fixture,Supply and installation of a recessed step light for stairs or elevation changes.,fixture,175.0,2,6,16,step light;stair lighting;riser light,FALSE,FALSE,FALSE,How many steps need lighting fixtures?,High confidence when notes mention lighting steps or stairs.,TRUE
GP-141,Landscape Lighting,Equipment,Low-Voltage Transformer,Supply and installation of a low-voltage transformer sized to the lighting fixture load.,each,625.0,1,1,2,transformer;lighting transformer;low voltage power supply,FALSE,FALSE,FALSE,,Low confidence as a standalone request; typically bundled with a lighting package.,TRUE
GP-142,Landscape Lighting,Package,Landscape Lighting Package - Small (6-8 fixtures),"Design-build low-voltage lighting package including transformer, wiring, and 6-8 fixtures.",project,2450.0,1,1,1,small lighting package;basic landscape lighting;starter lighting package,FALSE,TRUE,FALSE,"Roughly how many areas of the yard need lighting, and is there a priority feature to highlight first?",Medium confidence; select when notes ask for lighting generally without specifying fixture count.,TRUE
GP-143,Landscape Lighting,Package,Landscape Lighting Package - Large (15-20 fixtures),"Design-build low-voltage lighting package including transformer, wiring, and 15-20 fixtures across the yard.",project,5800.0,1,1,1,full lighting package;whole yard lighting;large landscape lighting,FALSE,TRUE,FALSE,"Roughly how many areas of the yard need lighting, and is there a priority feature to highlight first?",Medium confidence; select when notes describe comprehensive lighting across the whole property.,TRUE
GP-144,Landscape Lighting,Controls,Lighting Control System Upgrade (App/Smart Control),"Upgrade of landscape lighting to a smart, app-controlled or scheduled dimming system.",each,875.0,1,1,1,smart lighting control;app-controlled lights;lighting automation,FALSE,FALSE,FALSE,,High confidence when notes mention app-based or smart control for landscape lighting.,TRUE
GP-145,Landscape Lighting,Controls,Lighting Timer/Photocell Installation,Installation of a basic timer or photocell sensor for automatic dusk-to-dawn lighting control.,each,135.0,1,1,1,light timer;photocell;dusk to dawn sensor,FALSE,FALSE,FALSE,,Medium confidence; select when notes mention automatic on/off lighting without full smart control.,TRUE
GP-146,Outdoor Electrical,Circuit,Outdoor Electrical Circuit Run,Trenching and wiring of a new dedicated outdoor electrical circuit from the main panel.,linear_ft,18.0,20,60,200,run electrical;electrical trench;new outdoor circuit;power run to the patio,TRUE,FALSE,TRUE,"How far does the new circuit need to run, and what will it power?",High confidence when notes mention needing power run to a new outdoor feature.,TRUE
GP-147,Outdoor Electrical,Outlet,GFCI Outlet Installation,Installation of a code-required weatherproof GFCI outlet in an outdoor location.,each,225.0,1,2,6,outdoor outlet;gfci outlet;weatherproof outlet,FALSE,FALSE,TRUE,"How many outdoor outlets are needed, and where should they be located?",High confidence when notes mention needing an outlet in a specific outdoor location.,TRUE
GP-148,Outdoor Electrical,Panel,Outdoor Sub-Panel Installation,Installation of a dedicated outdoor electrical sub-panel to support multiple new circuits.,each,1850.0,1,1,1,sub panel;electrical panel upgrade;outdoor breaker panel,FALSE,FALSE,TRUE,How many new circuits are planned that would run off this sub-panel?,"Medium confidence; select when the scope includes several electrical items (kitchen, lighting, water feature).",TRUE
GP-149,Outdoor Electrical,Circuit,220V Circuit for Outdoor Kitchen Appliance,Installation of a dedicated 220V circuit for a high-draw outdoor kitchen appliance.,each,685.0,1,1,3,220v circuit;appliance circuit;high voltage outlet,FALSE,FALSE,TRUE,Which appliance requires the 220V circuit?,High confidence when notes mention a specific 220V appliance like certain refrigeration or cooking units.,TRUE
GP-150,Outdoor Electrical,Circuit,Outdoor Fan/Heater Electrical Rough-In,Rough-in wiring and switch installation to support a pergola fan or patio heater.,each,375.0,1,1,3,fan wiring;heater electrical;patio heater hookup,FALSE,FALSE,TRUE,How many fans or heaters need electrical rough-in?,Medium confidence; typically bundled with a fan or heater installation item.,TRUE
GP-151,Outdoor Electrical,Lighting,Landscape Lighting Electrical Rough-In,Rough-in of a dedicated circuit and timer connection to support a landscape lighting transformer.,project,650.0,1,1,1,lighting circuit;landscape lighting power;transformer wiring,FALSE,FALSE,TRUE,,Medium confidence; typically bundled automatically with a landscape lighting package.,TRUE
GP-152,Outdoor Electrical,Permitting,Electrical Permit & Inspection Coordination,Coordination of permit filing and inspection scheduling for electrical work requiring city approval.,project,425.0,1,1,1,electrical permit;permit coordination;inspection scheduling,FALSE,FALSE,TRUE,,Medium confidence; select automatically when the scope includes a sub-panel or major circuit work.,TRUE
GP-153,Planting,Trees,Palm Tree Installation - Standard (8-10ft),"Supply and installation of a standard 8-10 foot palm tree, including staking.",each,875.0,1,2,8,palm tree;small palm;standard palm tree,FALSE,TRUE,TRUE,"How many palm trees are needed, and which variety is preferred?",High confidence when notes mention palm trees without specifying a mature/large size.,TRUE
GP-154,Planting,Trees,Palm Tree Installation - Mature (14ft+),Supply and installation of a mature 14-foot-plus palm tree requiring crane placement.,each,2650.0,1,1,4,mature palm tree;large palm;tall palm tree;crane palm,FALSE,TRUE,TRUE,"How many mature palms are needed, and is crane access available at the planting site?","Medium confidence; select when notes emphasize a tall, mature, or statement palm tree.",TRUE
GP-155,Planting,Trees,"Shade Tree Installation - 24"" Box","Supply and installation of a 24-inch box shade tree, including staking and root barrier if needed.",each,525.0,1,3,10,shade tree;24 inch box tree;medium tree,FALSE,TRUE,TRUE,"How many shade trees are needed, and which species is preferred?",Medium confidence; select for general shade tree requests without a size qualifier.,TRUE
GP-156,Planting,Trees,"Shade Tree Installation - 36"" Box",Supply and installation of a larger 36-inch box shade tree for more immediate canopy coverage.,each,1150.0,1,2,6,large shade tree;36 inch box tree;big tree,FALSE,TRUE,TRUE,"How many large shade trees are needed, and which species is preferred?",Medium confidence; select when notes emphasize immediate shade or a larger starting tree size.,TRUE
GP-157,Planting,Package,Desert Planting Package - Small Bed,"Curated desert-adapted plant package (agave, yucca, accent shrubs) for a single planting bed.",sqft,8.5,50,200,800,desert plants;xeriscape planting;small planting bed;desert landscaping,TRUE,TRUE,TRUE,"How many square feet of planting bed, and any color or plant preferences?",Medium confidence; select for a defined single bed rather than the whole yard.,TRUE
GP-158,Planting,Package,Desert Planting Package - Full Yard,Curated desert-adapted plant package sized for full-yard xeriscape planting.,sqft,6.25,500,2000,6000,full yard planting;whole yard xeriscape;complete desert landscaping,TRUE,TRUE,TRUE,How many total square feet of planting coverage are needed across the yard?,Medium confidence; select when notes describe planting the entire yard rather than one bed.,TRUE
GP-159,Planting,Cactus,Cactus Installation - Accent (Barrel/Golden Barrel),Supply and installation of an accent-size barrel or golden barrel cactus.,each,145.0,2,8,30,barrel cactus;golden barrel;accent cactus,FALSE,FALSE,TRUE,How many accent cacti are needed?,High confidence when notes mention barrel cactus or similar small accent cacti.,TRUE
GP-160,Planting,Cactus,Cactus Installation - Specimen (Saguaro),"Supply and installation of a specimen saguaro cactus, including permitting coordination if required.",each,2850.0,1,1,3,saguaro;specimen cactus;large cactus,FALSE,FALSE,TRUE,"How many saguaros are needed, and what height range is preferred?",High confidence when notes specifically mention a saguaro.,TRUE
GP-161,Planting,Shrubs,Shrub Installation - 5-Gallon,Supply and installation of a standard 5-gallon container shrub.,each,65.0,5,25,100,shrubs;5 gallon shrub;small shrub;bushes,FALSE,TRUE,FALSE,"How many shrubs are needed, and is there a variety preference?",High confidence when notes mention shrubs or bushes generally.,TRUE
GP-162,Planting,Shrubs,Shrub Installation - 15-Gallon,Supply and installation of a larger 15-gallon container shrub for more immediate screening or fill.,each,185.0,3,10,40,large shrub;15 gallon shrub;big bush,FALSE,TRUE,FALSE,"How many larger shrubs are needed, and is there a variety preference?",Medium confidence; select when notes emphasize immediate size or privacy screening.,TRUE
GP-163,Planting,Groundcover,Groundcover Installation,Supply and installation of flat or spreading groundcover plants across a planting area.,sqft,3.75,50,300,1000,groundcover;ground cover plants;low spreading plants,TRUE,TRUE,FALSE,"How many square feet of groundcover are needed, and is there a preferred variety?","Medium confidence; select when notes mention low, spreading, or filler planting.",TRUE
GP-164,Planting,Accent,Accent Plant Installation (Agave/Yucca),Supply and installation of an architectural accent plant such as agave or yucca.,each,85.0,3,12,40,agave;yucca;accent plant;architectural plant,FALSE,TRUE,FALSE,How many accent plants are needed?,"High confidence when notes mention agave, yucca, or similar architectural accent plants.",TRUE
GP-165,Planting,Vine,Vine/Espalier Planting,Supply and installation of a climbing vine or espalier-trained plant along a wall or trellis.,each,95.0,1,4,12,vine;climbing plant;espalier;trellis plant,FALSE,TRUE,FALSE,"How many vines are needed, and what will they be climbing (wall, trellis, fence)?","Medium confidence; select when notes mention greenery climbing a wall, fence, or trellis.",TRUE
